,playlist,name,artist,albumreleasedate,genres,energy,danceability,loudness,speechiness,acousticness,liveness,trackpopularity
669,Reggaetón,Volando - Remix,Mora,2021-07-08,trap latino,0.688,0.659,-4.649,0.0673,0.207,0.113,82
670,Reggaetón,TE MATA,Feid,2021-08-20,colombian pop,0.531,0.582,-4.698,0.209,0.0209,0.138,71
671,Reggaetón,Volví,Aventura,2021-08-03,bachata,0.86,0.725,-3.726,0.182,0.422,0.0674,82
672,Reggaetón,Jordan,Ryan Castro,2021-04-30,reggaeton,0.68,0.796,-5.555,0.37,0.0575,0.103,6
673,Reggaetón,Monastery,Ryan Castro,2021-11-12,reggaeton,0.5,0.811,-6.717,0.0976,0.104,0.372,80
674,Reggaetón,A Mí,Rels B,2019-02-21,r&b en espanol,0.548,0.846,-6.397,0.256,0.241,0.0419,84
675,Reggaetón,Medallo,Blessd,2021-10-27,reggaeton,0.7,0.787,-4.598,0.0768,0.568,0.663,78
676,Reggaetón,Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),Tainy,2021-10-05,pop reggaeton,0.703,0.639,-6.33,0.0794,0.0889,0.0865,84
677,Reggaetón,Una Nota,J Balvin,2021-09-10,reggaeton,0.788,0.662,-4.55,0.205,0.0191,0.0559,69
678,Reggaetón,512,Mora,2021-02-05,trap latino,0.673,0.818,-7.542,0.148,0.348,0.172,79
679,Reggaetón,Y Si La Ves,Ñejo,2013,reggaeton,0.682,0.653,-6.152,0.258,0.5,0.789,0
680,Reggaetón,Una Vez,Bad Bunny,2020-02-29,reggaeton,0.598,0.55,-5.402,0.0831,0.132,0.0955,81
681,Reggaetón,VACAXIONES,Feid,2021-10-29,colombian pop,0.686,0.567,-5.096,0.119,0.147,0.118,64
682,Reggaetón,Lejanía,Ryan Castro,2020-11-27,reggaeton,0.518,0.55,-6.969,0.205,0.171,0.111,63
683,Reggaetón,AMOR DE MI VIDA,Feid,2021-12-17,colombian pop,0.674,0.735,-5.629,0.124,0.18,0.108,74
684,Reggaetón,Escápate Conmigo - Remix,Wolfine,2012-09-06,colombian pop,0.884,0.827,-7.753,0.0912,0.189,0.346,0
685,Reggaetón,Fanatica Sensual (Remix) [feat. Nicky Jam],Plan B,2015-04-29,reggaeton,0.813,0.787,-4.569,0.0528,0.162,0.125,68
686,Reggaetón,Hooka,Don Omar,2010-01-01,latin hip hop,0.863,0.73,-5.082,0.154,0.0373,0.491,77
687,Reggaetón,Ven Bailalo - Reggaeton Mix,Angel Y Khriz,2005-07-22,latin hip hop,0.919,0.675,-6.075,0.0366,0.0606,0.103,37
688,Reggaetón,Candy,Plan B,2014-08-25,reggaeton,0.864,0.897,-3.735,0.147,0.252,0.517,77
689,Reggaetón,Passion Whine,Farruko,2016-02-22,reggaeton,0.689,0.756,-3.87,0.0648,0.327,0.0586,73
690,Reggaetón,Llamado de Emergencia,Daddy Yankee,2008-08-12,latin hip hop,0.909,0.703,-4.456,0.0358,0.216,0.162,78
691,Reggaetón,Pose,Daddy Yankee,2008-08-12,latin hip hop,0.881,0.806,-3.577,0.0903,0.0429,0.349,75
692,Reggaetón,Malory,Ryan Castro,2021-09-21,reggaeton,0.745,0.803,-5.251,0.0657,0.136,0.0712,79
693,Reggaetón,Mujeriego,Ryan Castro,2021-12-17,reggaeton,0.621,0.758,-8.033,0.125,0.0628,0.0809,75
694,Reggaetón,CANCIÓN CON YANDEL,Yandel,2020-05-10,latin hip hop,0.741,0.75,-4.43,0.402,0.447,0.121,75
695,Reggaetón,Medellin,Ryan Castro,2020-10-09,reggaeton,0.713,0.665,-4.829,0.0789,0.0552,0.335,51
696,Reggaetón,La Realidad,Pusho,2017-03-10,reggaeton,0.69,0.743,-5.987,0.331,0.353,0.0616,38
697,Reggaetón,Bonita,J Balvin,2017-06-02,reggaeton,0.867,0.775,-1.582,0.0414,0.0132,0.278,75
698,Reggaetón,No Es Justo,J Balvin,2018-05-11,reggaeton,0.812,0.801,-4.47,0.0587,0.151,0.152,62
699,Reggaetón,La player (Bandolera),Zion & Lennox,2018-02-23,reggaeton,0.838,0.769,-5.238,0.0633,0.16,0.0935,77
700,Reggaetón,IMPOSIBLE - REMIX,Blessd,2021-05-13,reggaeton,0.66,0.833,-3.985,0.1,0.141,0.107,62
701,Reggaetón,Porte,Ryan Castro,2021-01-29,reggaeton,0.843,0.668,-4.456,0.365,0.15,0.109,47
702,Reggaetón,La Oportunidad - Spotify Singles,Blessd,2021-11-10,reggaeton,0.73,0.789,-3.206,0.103,0.262,0.13,48
703,Reggaetón,Ella - Remix,Boza,2021-10-29,panamanian pop,0.812,0.747,-4.274,0.111,0.341,0.174,68
704,Reggaetón,La Suite - Remix,Reykon,2021-07-02,reggaeton,0.825,0.774,-4.542,0.278,0.182,0.309,54
705,Reggaetón,Elegí (feat. Dímelo Flow),Rauw Alejandro,2020-03-26,puerto rican pop,0.631,0.824,-2.791,0.0809,0.237,0.0531,75
706,Reggaetón,Anaranjado,Jowell & Randy,2020-08-06,reggaeton,0.58,0.763,-6.196,0.144,0.0466,0.154,59
707,Reggaetón,Niña de Mis Sueños,Ryan Castro,2022-01-21,reggaeton,0.848,0.718,-4.13,0.211,0.0824,0.28,58
708,Reggaetón,Quien TV Remix,Blessd,2022-01-27,reggaeton,0.847,0.764,-4.922,0.0518,0.0301,0.166,70
709,Reggaetón,Desesperados,Rauw Alejandro,2021-12-11,puerto rican pop,0.694,0.869,-3.35,0.0783,0.356,0.0878,80
710,Reggaetón,Sobrio,Maluma,2021-07-08,latin pop,0.77,0.762,-2.758,0.223,0.138,0.15,82
711,Reggaetón,Triste,Bryant Myers,2018-07-27,reggaeton,0.724,0.693,-5.379,0.109,0.403,0.0978,6
712,Reggaetón,Corazón (feat. Nego do Borel),Maluma,2018-05-18,latin pop,0.738,0.722,-6.073,0.247,0.328,0.198,74
713,Reggaetón,La Nota,Manuel Turizo,2020-10-08,colombian pop,0.632,0.736,-4.939,0.0648,0.18,0.349,73
714,Reggaetón,Una Locura,Ozuna,2020-09-04,puerto rican pop,0.761,0.714,-4.596,0.0427,0.139,0.241,78
715,Reggaetón,Fashion Girl,Jadiel,2019-12-01,reggaeton,0.816,0.712,-9.123,0.0531,0.00704,0.456,3
716,Reggaetón,Travesuras - Remix,Nio Garcia,2021-03-11,reggaeton,0.788,0.739,-5.198,0.0731,0.0513,0.282,68
717,Reggaetón,Dile Que Tu Me Quieres,Ozuna,2017-08-25,puerto rican pop,0.757,0.773,-4.959,0.0526,0.0864,0.0727,78
718,Reggaetón,Un Verano Sin Ti,Bad Bunny,2022-05-06,reggaeton,0.496,0.503,-9.123,0.0556,0.693,0.123,81
719,Reggaetón,Me Porto Bonito,Bad Bunny,2022-05-06,reggaeton,0.712,0.911,-5.105,0.0817,0.0901,0.0933,93
720,Reggaetón,Un Coco,Bad Bunny,2022-05-06,reggaeton,0.69,0.839,-4.464,0.0615,0.207,0.176,84
721,Reggaetón,Mojando Asientos (feat. Feid),Maluma,2022-03-24,latin pop,0.767,0.773,-4.019,0.0819,0.0352,0.299,76
722,Reggaetón,LA INOCENTE,Mora,2022-04-01,trap latino,0.789,0.757,-3.46,0.0583,0.307,0.0717,89
723,Reggaetón,Si Te La Encuentras Por Ahí,Feid,2022-08-05,colombian pop,0.576,0.743,-3.552,0.076,0.151,0.128,76
724,Reggaetón,Vuelve,Daddy Yankee,2017-09-29,latin hip hop,0.531,0.734,-5.662,0.0321,0.196,0.119,78
725,Reggaetón,Loquita,Randy,2017-01-01,reggaeton,0.703,0.695,-5.255,0.0672,0.0381,0.317,46
726,Reggaetón,Tendencia Global,Blessd,2022-03-18,reggaeton,0.766,0.867,-3.542,0.124,0.527,0.111,69
727,Reggaetón,Hey Mor,Ozuna,2022-10-07,puerto rican pop,0.589,0.901,-6.713,0.289,0.00302,0.0992,91
728,Reggaetón,Feliz Cumpleaños Ferxxo,Feid,2022-09-14,colombian pop,0.573,0.865,-5.501,0.0678,0.0863,0.305,90
729,Reggaetón,De Tanto Chimbiar,Feid,2022-09-02,colombian pop,0.602,0.821,-6.628,0.168,0.108,0.246,71
730,Reggaetón,Normal,Feid,2022-09-14,colombian pop,0.56,0.709,-4.867,0.171,0.034,0.315,88
731,Reggaetón,Ferxxo 100,Feid,2022-09-14,colombian pop,0.562,0.705,-3.378,0.0674,0.257,0.137,83
732,Reggaetón,Prohibidox,Feid,2022-09-14,colombian pop,0.801,0.647,-2.946,0.249,0.0451,0.0628,82
733,Reggaetón,Castigo,Feid,2022-09-14,colombian pop,0.68,0.728,-4.129,0.165,0.0865,0.1,73
734,Reggaetón,Chillax (feat. Ky-Mani Marley),Farruko,2015-10-23,reggaeton,0.646,0.827,-4.727,0.0766,0.0724,0.247,73
